k	linear_cumulative_overlap	constrained_cumulative_overlap	delta_cumulative_overlap
1	0.9397596205568167	0.9449948466337252	0.005235226076908517
2	0.9456317929076689	0.9468776248726635	0.0012458319649946148
3	0.9514074036827709	0.9480184542416978	-0.0033889494410730414
4	0.959036753511832	0.9589210464997714	-0.0001157070120606507
5	0.9648677402443613	0.9643896548286969	-0.00047808541566440876
6	0.9657424791951952	0.9647450481173321	-0.000997431077863098
7	0.9658797656043187	0.9648644218920647	-0.00101534371225398
8	0.9692350888393522	0.96891888614183	-0.0003162026975221943
9	0.973467832841893	0.9731156327722064	-0.00035220006968661455
10	0.97352409180216	0.9732493905467149	-0.00027470125544515334
11	0.9736009189290267	0.9732565342429413	-0.00034438468608533057
12	0.9736009195250231	0.9733204537106183	-0.0002804658144048844
13	0.9736041313732073	0.9733350912082459	-0.00026904016496143157
14	0.9737318340458183	0.9746199225689094	0.0008880885230910796
15	0.9748179543566508	0.9746360585336122	-0.0001818958230385137
16	0.9748530592724166	0.9747009978370431	-0.00015206143537349615
17	0.9748740854575513	0.974747113831986	-0.0001269716255652975
18	0.9750339961461698	0.9752758611860342	0.00024186503986434182
19	0.9754436191484406	0.9752922354341843	-0.00015138371425627017
20	0.9754695035887827	0.9754868748997516	1.737131096890554e-05
